location_id,location_name,street_name,locality,sub_locality,city,district,state,pincode,location_type,tourist_destination,latitude,longitude,predicted_safety_score,predicted_risk_level
LOC_106984,Barseni,,Barseni,,,,Madhya Pradesh,,village,0,24.19026,81.73763,54.89569192983991,RISKY
LOC_106985,Nārāyanareddipalli,,Nārāyanareddipalli,,,,Andhra Pradesh,,village,0,13.40074,79.15432,56.147533060344756,MODERATE
LOC_106986,Shītlāganj,,Shītlāganj,,,,Uttar Pradesh,,village,0,25.91141,82.09068,52.66077152116705,RISKY
LOC_106987,Doburji,,Doburji,,,,Punjab,,village,0,31.98963,75.10849,57.5198602391991,MODERATE
LOC_106988,Mena,,Mena,,,,Himachal Pradesh,,village,0,32.39003,76.50256,59.976197073486155,MODERATE
LOC_106989,Khurkhurātoli,,Khurkhurātoli,,,,Jharkhand,,village,0,23.40014,84.6421,54.95754089468119,RISKY
LOC_106990,Purwa Jhāu Tiwāri,,Purwa Jhāu Tiwāri,,,,Uttar Pradesh,,village,0,26.51374,81.46357,47.487375312863186,RISKY
LOC_106991,Gannavaram,,Gannavaram,,,,Andhra Pradesh,,village,0,17.51155,82.52376,55.22362854057578,MODERATE
LOC_106992,Beldāri Bigha,,Beldāri Bigha,,,,Bihar,,village,0,25.1027,85.77837,49.143417508463344,RISKY
LOC_106993,Shahīd,,Shahīd,,,,Punjab,,village,0,31.22795,74.78285,55.10003730709091,MODERATE
LOC_106994,Nagla Chhītal,,Nagla Chhītal,,,,Uttar Pradesh,,village,0,27.19206,78.22757,52.48545144038996,RISKY
LOC_106995,Rāmpur Pabra,,Rāmpur Pabra,,,,Bihar,,village,0,24.78331,87.07746,57.23643708428114,MODERATE
LOC_106996,Ārāzi Kanaitha,,Ārāzi Kanaitha,,,,Uttar Pradesh,,village,0,26.01866,82.95281,53.4489859739801,RISKY
LOC_106997,Kharkauli,,Kharkauli,,,,Uttar Pradesh,,village,0,26.19166,83.07765,46.458293025988745,RISKY
LOC_106998,Masudansinghtola,,Masudansinghtola,,,,Bihar,,village,0,25.34346,86.39871,49.39658715169211,RISKY
LOC_106999,Āsdahā,,Āsdahā,,,,Uttar Pradesh,,village,0,25.72805,82.79774,48.12501908541649,RISKY
LOC_107000,Rajkhar,,Rajkhar,,,,Jharkhand,,village,0,24.49437,83.419,46.161757543789605,RISKY
LOC_107001,Khaneri,,Khaneri,,,,Himachal Pradesh,,village,0,31.45564,77.66233,58.61901034256215,MODERATE
LOC_107002,Nagla Bais,,Nagla Bais,,,,Uttar Pradesh,,village,0,26.88136,79.39234,51.29223511618005,RISKY
LOC_107003,Panch Mahuria,,Panch Mahuria,,,,Gujarat,,village,0,23.08185,73.54408,54.40210728453443,RISKY
LOC_107004,Garrātoli,,Garrātoli,,,,Bihar,,village,0,26.34692,87.73443,49.3699916113648,RISKY
LOC_107005,Changeri,,Changeri,,,,Madhya Pradesh,,village,0,24.05995,79.73822,53.74101987580211,RISKY
LOC_107006,Gujarwādi,,Gujarwādi,,,,Maharashtra,,village,0,19.06556,76.22002,53.8191714070904,RISKY
LOC_107007,Bagshihn,,Bagshihn,,,,Himachal Pradesh,,village,0,31.40969,77.29875,55.531373041751664,MODERATE
LOC_107008,Gulzār Dīh,,Gulzār Dīh,,,,Uttar Pradesh,,village,0,27.35151,82.15477,52.07465849608068,RISKY
LOC_107009,Patna,,Patna,,,,Bihar,,village,0,24.97792,83.72095,51.6927884951868,RISKY
LOC_107010,Sersa,,Sersa,,,,Uttar Pradesh,,village,0,27.35907,77.65023,54.981340997705765,RISKY
LOC_107011,Hosahalli,,Hosahalli,,,,Andhra Pradesh,,village,0,14.77007,77.03932,54.61509089911014,RISKY
LOC_107012,Pakaria,,Pakaria,,,,Bihar,,village,0,25.68666,87.85507,53.36951567552147,RISKY
LOC_107013,Pāppākkudipatti,,Pāppākkudipatti,,,,Tamil Nadu,,village,0,10.09619,78.41901,56.63151001571361,MODERATE
LOC_107014,Simra Grant,,Simra Grant,,,,Uttar Pradesh,,village,0,27.84815,80.41185,48.88990482528075,RISKY
LOC_107015,Dhārawaram,,Dhārawaram,,,,Chhattisgarh,,village,0,18.67953,80.76621,55.352461665630884,MODERATE
LOC_107016,Sikta,,Sikta,,,,Uttar Pradesh,,village,0,27.13062,82.89057,48.17851317573773,RISKY
LOC_107017,Puduppattanam,,Puduppattanam,,,,Tamil Nadu,,village,0,10.76264,79.16161,57.076512417492005,MODERATE
LOC_107018,Sargijuri,,Sargijuri,,,,Odisha,,village,0,21.04897,83.0129,50.38003621513027,RISKY
LOC_107019,Pahārāpur,,Pahārāpur,,,,Uttar Pradesh,,village,0,26.74637,81.32395,51.042198884185375,RISKY
LOC_107020,Mismagūdiam,,Mismagūdiam,,,,Chhattisgarh,,village,0,18.26205,81.49935,54.92616446570582,RISKY
LOC_107021,Toralpura,,Toralpura,,,,Bihar,,village,0,24.89295,84.66647,49.26938698729866,RISKY
